,Url,Preço,Titulo Imóvel,Endereço,Área,Número de Quartos
33,https://apartamento.mercadolivre.com.br/MLB-2127553458-apartamento-venda-em-rio-de-janeiro-42090-_JM#position=34&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,474.000,Apartamento À Venda Em Rio De Janeiro - 42090,"Avenida Embaixador Abelardo Bueno, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",85 m² construídos,2 quartos
34,https://apartamento.mercadolivre.com.br/MLB-2128604347-apartamento-venda-em-rio-de-janeiro-28407-_JM#position=35&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,3.500.000,Apartamento À Venda Em Rio De Janeiro - 28407,"Avenida Monsenhor Ascâneo, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",400 m² construídos,4 quartos
35,https://apartamento.mercadolivre.com.br/MLB-2159902108-cobertura-venda-em-rio-de-janeiro-28363-_JM#position=36&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,2.900.000,Cobertura À Venda Em Rio De Janeiro - 28363,"Avenida Heitor Doyle Maia, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",277 m² construídos,4 quartos
36,https://apartamento.mercadolivre.com.br/MLB-2128617356-apartamento-venda-em-rio-de-janeiro-37719-_JM#position=37&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.000.000,Apartamento À Venda Em Rio De Janeiro - 37719,"Rua Hugo Panasco Alvim, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",132 m² construídos,3 quartos
37,https://apartamento.mercadolivre.com.br/MLB-2159849053-cobertura-venda-em-rio-de-janeiro-26872-_JM#position=38&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,3.158.000,Cobertura À Venda Em Rio De Janeiro - 26872,"Avenida Lúcio Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",200 m² construídos,1 quarto
38,https://apartamento.mercadolivre.com.br/MLB-2159890560-apartamento-venda-em-rio-de-janeiro-27205-_JM#position=39&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,4.178.000,Apartamento À Venda Em Rio De Janeiro - 27205,"Avenida Flamboyants Da Península, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",330 m² construídos,4 quartos
39,https://apartamento.mercadolivre.com.br/MLB-2159854422-apartamento-venda-em-rio-de-janeiro-28135-_JM#position=40&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,2.930.000,Apartamento À Venda Em Rio De Janeiro - 28135,"Avenida Lúcio Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",132 m² construídos,3 quartos
40,https://apartamento.mercadolivre.com.br/MLB-2159854407-cobertura-venda-em-rio-de-janeiro-26901-_JM#position=41&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,3.500.000,Cobertura À Venda Em Rio De Janeiro - 26901,"Avenida Monsenhor Ascâneo, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",480 m² construídos,3 quartos
41,https://apartamento.mercadolivre.com.br/MLB-2157569158-apartamento-venda-em-rio-de-janeiro-45120-_JM#position=42&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,735.000,Apartamento À Venda Em Rio De Janeiro - 45120,"Avenida Di Cavalcanti, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",80 m² construídos,3 quartos
42,https://apartamento.mercadolivre.com.br/MLB-2128525735-cobertura-venda-em-rio-de-janeiro-26778-_JM#position=43&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,2.580.000,Cobertura À Venda Em Rio De Janeiro - 26778,"Rua Desembargador Fernandes Pinheiro, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",250 m² construídos,3 quartos
